time,ap,inter,util,noise,cl
2019-05-31 14:15:00+1000,pnp3802,13.0,5.0,-87.0,99.0
2019-05-31 14:30:00+1000,pnp1852,0.0,0.0,-1,-1
2019-05-31 14:30:00+1000,pnp3802,13.0,5.0,-84.0,95.0
2019-05-31 14:30:00+1000,adam-9800-ap,4.0,4.0,-69.0,99.0
2019-05-31 14:45:00+1000,pnp1852,0.0,0.0,-1,-1
2019-05-31 14:45:00+1000,adam-9800-ap,4.0,4.0,-90.0,99.0
2019-05-31 14:45:00+1000,pnp3802,13.0,4.0,-87.0,97.0
2019-05-31 15:00:00+1000,pnp1852,0.0,0.0,-1,-1
2019-05-31 15:00:00+1000,adam-9800-ap,9.0,8.0,-88.0,98.0
2019-05-31 15:00:00+1000,pnp3802,12.0,4.0,-85.0,97.0
2019-05-31 15:15:00+1000,adam-9800-ap,6.0,5.0,-91.0,99.0
2019-05-31 15:15:00+1000,pnp1852,0.0,0.0,-1,-1
2019-05-31 15:15:00+1000,pnp3802,25.0,17.0,-91.0,94.0
2019-05-31 15:30:00+1000,pnp1852,0.0,0.0,-1,-1
2019-05-31 15:30:00+1000,adam-9800-ap,5.0,5.0,-88.0,98.0
2019-05-31 15:30:00+1000,pnp3802,12.0,4.0,-85.0,99.0
2019-05-31 15:45:00+1000,pnp1852,0.0,0.0,-1,-1
2019-05-31 15:45:00+1000,adam-9800-ap,4.0,4.0,-91.0,99.0
2019-05-31 15:45:00+1000,pnp3802,11.0,4.0,-85.0,99.0
2019-05-31 16:00:00+1000,adam-9800-ap,8.0,8.0,-85.0,98.0
2019-05-31 16:00:00+1000,pnp1852,0.0,0.0,-1,-1
2019-05-31 16:00:00+1000,pnp3802,27.0,4.0,-84.0,92.0
2019-05-31 16:15:00+1000,adam-9800-ap,10.0,10.0,-91.0,99.0
2019-05-31 16:15:00+1000,pnp1852,0.0,0.0,-1,-1
2019-05-31 16:15:00+1000,pnp3802,37.0,30.0,-68.0,94.0
2019-05-31 16:30:00+1000,pnp1852,0.0,0.0,-1,-1
2019-05-31 16:30:00+1000,adam-9800-ap,9.0,8.0,-85.0,98.0
2019-05-31 16:30:00+1000,pnp3802,15.0,5.0,-84.0,77.0
2019-05-31 16:45:00+1000,pnp1852,0.0,0.0,-1,-1
2019-05-31 16:45:00+1000,adam-9800-ap,8.0,7.0,-86.0,99.0
2019-05-31 16:45:00+1000,pnp3802,11.0,4.0,-86.0,88.0
